DATE,OPENP,HIGH,LOW,CLOSEP,VOLUME
29/05/2018,59.9,61.9,58.5,61.2,159443
28/05/2018,60.9,61.7,59.3,61.1,156154
27/05/2018,58.7,61.9,58.7,60.7,168405
24/05/2018,58.2,62,58.2,60.5,150721
23/05/2018,58.8,60.4,58.8,59.3,32600
22/05/2018,58.1,61.8,58.1,60.6,152214
21/05/2018,57.3,62,57.3,60.6,33054
20/05/2018,57,59.3,57,59,33822
17/05/2018,58.2,59,58.2,58.5,29326
16/05/2018,58,60,58,58.8,57214
15/05/2018,57.4,63,57.4,58.5,45446
14/05/2018,57.2,59,57.2,58.2,34590
13/05/2018,57.8,58,57.7,57.8,8050
10/5/2018,57.4,58.9,57.4,58.4,25080
9/5/2018,57.3,59.2,57.3,57.4,88124
8/5/2018,59.2,59.2,57.2,58.6,31220
7/5/2018,58.8,58.9,58.7,58.9,5520
6/5/2018,58.5,59.9,57.7,59,91080
3/5/2018,56.5,58.7,56.5,57.5,51453
30/04/2018,58.4,58.4,56.2,56.2,47690
26/04/2018,58,58,56.5,56.5,59193
25/04/2018,57.6,57.6,57,57.1,88414
24/04/2018,56.6,57.5,56.6,57.5,13390
23/04/2018,59.5,59.5,56.8,57.1,46353
22/04/2018,58.2,58.4,57,58.3,63410
19/04/2018,59.1,60,57.5,58.5,49790
18/04/2018,57.5,60.4,57.5,59.6,26654
17/04/2018,60,60.4,59,59.8,25231
16/04/2018,60,60.3,59.2,60.2,30860
15/04/2018,59.4,61,59.4,60.1,25223
12/4/2018,58.5,64,58.5,61.6,39044
11/4/2018,59.4,59.4,58.2,58.4,44760
10/4/2018,58.5,58.5,58.2,58.3,26956
9/4/2018,58.5,59.9,58,58.8,22884
8/4/2018,59.1,59.3,58.4,58.5,10439
5/4/2018,60.5,60.7,59.7,60.5,2214
3/4/2018,60,60,58.5,59.3,1031
2/4/2018,60,60,59.1,59.7,1461
1/4/2018,62.1,62.1,60,60.4,3074
29/03/2018,57.9,62.4,56,62.2,70017
28/03/2018,57.4,58,56.4,56.8,326
27/03/2018,57.2,57.3,57.2,57.2,1493
25/03/2018,57.4,59.7,56.9,57.1,1112
21/03/2018,57.5,57.5,57.3,57.4,147
20/03/2018,58,58.5,58,58.1,90
19/03/2018,61.6,61.9,58.1,60,23412
18/03/2018,60,61,58.3,60.2,25394
15/03/2018,56.5,60.1,56.5,60,72369
14/03/2018,56.3,57.2,56.3,56.5,8660
13/03/2018,55.5,57.8,55.3,56.3,31920
12/3/2018,56.6,58.9,56.5,56.5,15090
11/3/2018,57.8,57.8,56.5,56.8,740
8/3/2018,57.1,58.9,56.6,57.8,267
7/3/2018,57.1,58.7,57.1,57.8,455
6/3/2018,56,58.9,55.7,58.1,2781
4/3/2018,59.2,60.1,58.6,58.7,112006
1/3/2018,58.6,59.6,58.3,58.5,7380
20/02/2018,58.7,59.9,58.5,58.6,36866
19/02/2018,58,58.7,57.8,58,6891
18/02/2018,59.4,59.4,58,58.2,4080
15/02/2018,60.1,60.4,59.2,59.4,9700
14/02/2018,61,62.3,60.8,61.1,6218
13/02/2018,60.6,61.8,60.6,61.3,3370
12/2/2018,60,61.9,60,61.9,27719
11/2/2018,62.9,68.7,62.5,67,19538
8/2/2018,62.4,62.5,62.4,62.5,750
7/2/2018,63.9,63.9,63.9,63.9,6
6/2/2018,62.8,62.8,59.2,61.1,1720
5/2/2018,62.4,62.4,62.2,62.2,1955
4/2/2018,63,63,60.1,62.2,950
1/2/2018,64.4,64.4,60.6,63.7,50026
31/01/2018,64.9,64.9,61,63.5,87328
30/01/2018,65.8,65.8,60.9,63.8,62101
29/01/2018,59.1,64.7,59,63.4,8959
28/01/2018,60,60,59.1,59.7,820
25/01/2018,59.6,60.3,59.6,60.2,907
24/01/2018,60.1,61,60.1,60.2,143258
23/01/2018,60.8,61,60.5,60.6,27679
22/01/2018,60.8,60.8,60.8,60.8,3
18/01/2018,59.3,63.9,59.3,63.8,71775
17/01/2018,60.2,60.2,60.2,60.2,600
16/01/2018,60.5,63,59.1,60.4,6410
15/01/2018,60,60.6,60,60.5,5084
14/01/2018,60.9,60.9,60.6,60.6,20787
11/1/2018,61.7,61.7,60.5,61.6,610
9/1/2018,61.9,62,60.1,61.8,603
8/1/2018,62,62,60.8,61.2,3412
7/1/2018,60.7,63,60.7,62,7900
4/1/2018,61.4,61.5,61,61.1,14013
3/1/2018,61.5,61.5,61,61,37879
2/1/2018,61.3,61.6,61.3,61.5,34180
1/1/2018,62.1,62.1,62.1,62.1,5
28/12/2017,62,62.3,60.6,61.4,4373
27/12/2017,62.1,63,62,62,1700
26/12/2017,64.8,64.8,61.6,62,766
24/12/2017,66,66.1,63,65.2,29109
21/12/2017,64.1,64.1,62.5,64.1,30205
20/12/2017,64.5,64.5,61.7,64,23313
19/12/2017,64.9,64.9,62.8,64.3,35254
18/12/2017,66.4,66.4,62.1,64.4,34196
17/12/2017,66.5,66.5,63.5,64.7,36765
14/12/2017,63.5,67,63.5,63.7,47886
13/12/2017,61.3,63.7,60.3,63.5,27566
12/12/2017,59.9,63.6,59.9,63.1,22997
11/12/2017,63.6,63.8,62.1,62.8,14569
10/12/2017,63.9,64,62.1,63.5,3632
7/12/2017,63,64.8,62.3,64.2,14630
6/12/2017,64,64,62.5,63.9,3025
5/12/2017,63,64,63,63.9,3693
4/12/2017,63.9,63.9,61,63.5,5316
3/12/2017,63,64.8,60.7,63.7,5807
30/11/2017,63.2,63.3,61.5,62.8,20758
29/11/2017,60,62.8,60,62.1,9904
28/11/2017,59.8,60,59.4,59.8,6776
27/11/2017,59.6,59.6,59.3,59.5,1280
26/11/2017,58.9,59.7,58.6,59,77883
23/11/2017,59.1,59.1,58.9,59,1201
22/11/2017,58.6,59.9,58.6,59.7,5774
21/11/2017,58.1,59.3,58.1,59,1452
20/11/2017,58.4,59,58.1,58.2,7453
19/11/2017,58.1,59.2,58.1,58.3,1487
16/11/2017,58.3,60,57.9,57.9,112175
15/11/2017,59.7,59.7,58.3,58.3,61072
14/11/2017,60.4,60.5,59.2,59.3,1955
13/11/2017,60.9,60.9,59.4,60.3,1705
12/11/2017,59.4,59.4,59.4,59.4,1140
9/11/2017,59.5,59.5,59.5,59.5,4000
8/11/2017,58.5,58.5,58.5,58.5,35
7/11/2017,58.8,59.4,58,59.2,11351
6/11/2017,57.8,59.1,57.8,58.7,292
5/11/2017,59.5,59.5,59,59,2899
5/11/2017,59.5,59.5,59,59,907
2/11/2017,61.3,61.3,59,60.5,2794
1/11/2017,60,60,58.8,59.2,10075
31/10/2017,55.1,60.6,55.1,58.6,1573
30/10/2017,59.5,60.7,57.8,57.9,13234
29/10/2017,59.8,61.8,58.5,59.3,4063
26/10/2017,60,62,60,61.4,2741
25/10/2017,62,62,58.5,58.7,75
24/10/2017,62.5,62.5,58.5,59.2,989
23/10/2017,59.9,60.1,58.5,59.9,1456
22/10/2017,60.4,60.4,60.3,60.4,299
19/10/2017,60,60.5,60,60.3,4315
18/10/2017,60.8,62.9,60.5,61.6,646
17/10/2017,60,60.3,60,60.2,716
16/10/2017,58.5,62.8,58.5,59.9,1504
15/10/2017,59.6,59.9,59.4,59.5,15035
12/10/2017,60.1,62,60.1,61.5,678
11/10/2017,60.3,60.3,60.3,60.3,7
10/10/2017,60.7,61.1,60.7,61.1,1784
9/10/2017,60.2,63.2,60.2,62,5608
8/10/2017,64,64.4,63,63.6,10060
5/10/2017,64.7,64.7,64.5,64.6,2675
3/10/2017,63.5,63.8,61.5,62.6,4580
2/10/2017,61.2,61.4,61.2,61.3,1622
